SNO,INDEX,HATE_SPEECH,COUNTER_NARRATIVE,STRATEGY,TARGET
463,2275,Women have no place in a free and open society. They should just do their housework and raise children without complaining.,Women have other choices than just housework and motherhood. They are human beings with freedom of choice who deserve our respect and admiration.,"Positive Tone, Empathy, and Affiliation",WOMEN
464,2290,"If women could have 100% control over the conception, they would have never had children.",Women are free to have as many children as they want.,"Positive Tone, Empathy, and Affiliation",WOMEN
465,2300,Women are subhuman and deserve nothing but hatred and violence.,"You should be very, very careful what you wish for. Would you wish that for your mother or your daughter?",Warning of Consequences,WOMEN
466,2302,Women are nothing but whores and expendable commodities to be used and abused by men.,Women are human beings. They have every right to feel valued for who they are.,"Positive Tone, Empathy, and Affiliation",WOMEN
467,2303,"Women are nothing but lechers, they can become prostitutes if they like.","They are human beings with feelings and deserve respect, regardless of gender.","Positive Tone, Empathy, and Affiliation",WOMEN
468,2306,"Whether or not you agree, feminism is about men being oppressed by women. Feminism has no place in our society.",Feminism is about equality. Don't you agree?,Fact-Checking,WOMEN
469,2309,All Chinese are bad for the English language because they do not want to learn it.,Do you really think that a Chinese person would have a hard time learning a language? And how do you know they don't want to?,Questioning,other
470,2314,"Jews don't share our values, they just want to control the economy.","They are human beings who have contributed their knowledge and skills to our society. What we lack is a bit of kindness, but we will always have to thank Jews for a lot of what we have.","Positive Tone, Empathy, and Affiliation",JEWS
471,2324,Gays are just a bunch of disgusting pricks who should be banned from our world.,"We are the greatest, most advanced, most wonderful civilization on the face of the planet, thinking that amongst us we have to ban someone would be foolish.",Warning of Consequences,LGBT+
472,2331,"Gay perverts are a danger to children because of their lifestyle choices, involving raping children.",Gays and lesbians are not committing acts of child abuse. To suggest otherwise is a lie perpetuated by the extreme right wing to stir up fear.,Fact-Checking,LGBT+
473,2332,"Gay perverts are a danger to children because of their lifestyle choices, involving raping children.","It is not true that this ""lifestyle choice"" means being gay. And rape is a crime issue, not a lifestyle one.",Fact-Checking,LGBT+
474,2339,"We are the slaves of foreign immigrants, they are destroying our democracy.","Well, who would have thought that the end of the 19th century would have seen a world conspiracy to bring us migrants of all backgrounds, religions and nationalities, to destroy our democracy?",Humour/Sarcasm,MIGRANTS
475,2351,We all know it: migrants steal our jobs.,"Given that some studies show that some immigrants are not only good workers but also contribute to our country, this assertion of yours just isn't based upon facts..",Fact-Checking,MIGRANTS
476,2356,Migrants are a burden to the host country because they are refusing to work.,"Migrants are happy to contribute to the host country's economic growth, in order to give back to it in many ways.",Fact-Checking,MIGRANTS
477,2362,"Immigrants break our rules, they can't even keep their house clean. They are not welcome here, they are not worth our time.",We live in a free country and everyone has the right to respect others private lives.,"Positive Tone, Empathy, and Affiliation",MIGRANTS
478,2365,Most migrants are criminals and they are flooding into our country and are posing a security risk to our country.,"Some migrants have legitimate claims for citizenship, but this does not make them the enemy of the state, in other words it does not concern you.",Fact-Checking,MIGRANTS
479,2374,Muslims are not welcome in our country.,"I don't know about you, but I have never heard of a Muslim being 'not welcome' here.",Fact-Checking,other
480,2377,The migrant crisis in our country is a Muslim problem.,"Please help us to understand what's really going on here. Why is it a Muslim problem? If you really want to say this, try speaking to a real migrant first.","Positive Tone, Empathy, and Affiliation",other
481,2380,Muslim immigration is bad for the UK economy.,Will the UK and EU economy thrive if more people leave us?,Questioning,other
482,2386,"Islam is a dead ideology, it has been proven time and time again that its tenets can not be applied to totally different situations.","A religion is just a set of beliefs and practices, it has nothing to do with politics and ideologies.",Fact-Checking,MUSLIMS
483,2394,What about all those Muslims in Britain? They vote with their feet.,Every British citizen has the right to live and vote as he/she wish. Being Muslims is no exception.,Fact-Checking,MUSLIMS
484,2409,We are more than united against Muslims on the basis of their religion. They are different from us.,"Telling some people apart on the basis of their religion, and saying that they are different from us does not make them worse than others.",Denouncing,MUSLIMS
485,2416,I think jihad is a global problem and we should bomb it out of existence.,"We must understand and address the true causes behind terrorist attacks, so that we can prevent future ones.","Positive Tone, Empathy, and Affiliation",MUSLIMS
486,2422,Islam has no place in civilised Europe.,"Most Muslims in Europe are respectful and friendly people. This seems fairly close to being 'civilized', doesn't it?","Positive Tone, Empathy, and Affiliation",MUSLIMS
487,2449,I do not want a migrant to work with my children.,Immigrants can be of tremendous help when integrating into society. Maybe we should try to be a bit more open minded.,"Positive Tone, Empathy, and Affiliation",MUSLIMS
488,2458,Africans have no right to lecture others on history. They don't even believe in their own past.,There is no evidence that Africans are any less proud of their past than people from other countries.,Fact-Checking,POC
489,2462,I don't care about numbers. Feminist statistics are bullshit. The real percentages prove that black women are welfare queens.,"Statistics are a tool to demystify falsehoods that have been used to silence women and to marginalise people of colour. Feminism is all about equality and rights, not a preference for one sex over the other.",Fact-Checking,other
490,2465,"Afro-European?? We in UK are white, this just not makes sense.","The racial composition of the population of this country has been changing for a while now, and since then, the percentage of people from other racial groups has risen or fallen. In fact, according to the 2011 statistics, at least 15% of people in the UK are non-white.",Fact-Checking,other
491,2467,I don't respect feminists because they don't respect and care for other races.,"Feminism is not a racist ideology. Feminism is about full human rights, and respect for women's dignity.",Fact-Checking,WOMEN
492,2469,"Women are not able to take wise decisions, their behaviour is immoral.","Why do you think that women are incapable of acting ethically? They have always acted this way, from when they were children.",Fact-Checking,WOMEN
493,2472,Feminists are against the interests of the men.,Feminists are all for equal rights and opportunity. Men's rights are necessary for achieving both.,Fact-Checking,WOMEN
494,2473,Feminists say that they are oppressed.,Feminists do not say that women are oppressed. They claim that women have always been discriminated against and they still are. Being discriminated against is not the same as being oppressed.,Fact-Checking,WOMEN
495,2475,"Feminists pretend that they are for men's rights, but they are just a bunch of cry babies looking for justifications for oppressing men.",Discrimination based on gender does not have any justification. Feminists have always been against it.,Fact-Checking,WOMEN
496,2482,Feminism is a deadly ideology that is oppressing women and ruining our beautiful planet.,"Feminism is an ideology that can actually prevent many deaths, e.g., homicides of women, domestic violence, if it is fully understood by every last member of the society.",Fact-Checking,WOMEN
497,2483,"Feminists say everything we need is in the female gender. This is false. 'Mankind' requires us 'man' first, even in the word spelling.",The problem with discrimination is not in male gender. It is that some think that women are weak and emotional. Those seem to have forgotten that we are all part of 'mankind'.,Denouncing,WOMEN
498,2485,This isn't about equality. This is about forcing women to to occupy roles in society for which they are not capabable,If we insist on treating people as not equally capable of contributing to society then we are forced to live up to that outdated and unjust system. Instead we should be improving it.,Pointing Out Hypocrisy or Contradictions,WOMEN
499,2497,Women are capable of nothing and they just need to be protected.,"Women do not want protection. They are hurt by violence because they are discriminated against. If there was no culture of violence, nobody would need protecting.",Fact-Checking,WOMEN
500,2504,All Jews are criminals.,This is a myth perpetuated by individuals who wish to delegitimize and isolate individuals based on their religion. All religions have value and a positive role in society. Judaism is no exception.,Fact-Checking,JEWS
501,2506,Jews are a separate ethnicity and should be banned.,It is in the interest of all humanity to have a peaceful and integrated society. Diversity of opinion and belief is the rule rather than the exception.,"Positive Tone, Empathy, and Affiliation",JEWS
502,2511,Gays are perverts.,"Life is too short not to love who you like, or to worry about arbitary notions and 'norms' that are no longer relevant to how people live their lives.","Positive Tone, Empathy, and Affiliation",LGBT+
503,2512,Gays are perverts.,Why do you think it is a crime to be gay? It is a societal disorder to target gays.,Denouncing,LGBT+
504,2515,All gay are paedophiles.,I think this statement is hurtful to LGBT+ people. How about you explain it?,"Positive Tone, Empathy, and Affiliation",LGBT+
505,2523,"We can't have mestizos in, we can't coexist with millions of immigrants that will destroy our culture.","Even in countries such as Italy, in which migration has been present for centuries and there is a lot of cultural fragmentation, there is still a strong sense of identity and culture, based on solidarity. So, migration is not an issue.",Fact-Checking,MIGRANTS
506,2530,We don't need immigrants! There are plenty of them just waiting to replace us.,"If a 'replacement' was real, we'd have immigration levels in surplus for years already.",Pointing Out Hypocrisy or Contradictions,MIGRANTS
507,2559,All Muslims are incompatible with any Western society.,There is no evidence that Islam is incompatible with Western society.,Fact-Checking,MUSLIMS
508,2564,Muslims are just a bunch of child molesters.,"Child molesters are people who have sexually abused children, and they can be from any religion.",Fact-Checking,MUSLIMS
509,2570,Women should be patronized.,"Women are just as capable of thinking for themselves, that's for sure.",Fact-Checking,WOMEN
510,2573,I can't stand Arabs. They are just a trouble.,"They have lived in our country for a long time, they are our brothers and sisters. Why should we be bothered about a minority?","Positive Tone, Empathy, and Affiliation",other
511,2576,All Arabs are terrorists.,"Terrorism is a political ideology, and one that has no place in a modern democratic state, regardless of ethnicity.",Fact-Checking,other
512,2581,"Jews are just like animals, they are incapable of love.","What you are saying is that Jews are incapable of love because they are like animals. You are wrong, Jews are people. I have never heard about a Jewish fish nor a Rabbi rabbit.",Humour/Sarcasm,JEWS
513,2584,Gays are just a bunch of disgusting animals. They should be ashamed of their existence.,"Unfortunately, you seem to have a problem with shame. But gays don't. Do you really think that projecting your disgust towards other is a good idea?",Denouncing,LGBT+
514,2585,Gays are just a bunch of disgusting animals. They should be ashamed of their existence.,"Homosexuality is not a disease, it is an individual experience. No one should be told to be ashamed of their life.",Denouncing,LGBT+
515,2587,"I hate LGBT people. Queers makes me fucking laugh. You can be a woman, a gay, a vegetarian, you can be anything you want to be called! I want to be called King, where is my crown?","Queers, in my opinion, are simply people who want to feel welcome in our society. They should not be subjected to discrimination. And you can get your crown as well.","Positive Tone, Empathy, and Affiliation",LGBT+
516,2593,No one should be allowed to accept LGBT people.,"If you don't accept LGBT people, you won't easily find other ways to accept that society is made by diverse people all capable of love.","Positive Tone, Empathy, and Affiliation",LGBT+
517,2595,We are taking in migrants which is against our culture.,"It is not true that taking in migrants is against our culture. It is possible to integrate migrants, in spite of the legal and immigration obstacles they face. We must, therefore, take into account the needs of the whole of humankind.",Fact-Checking,MIGRANTS
518,2606,"Migrants are here to use our money. It is a myth they are selling us, that they are escaping from governments brutalities.","How would you feel if the police and government were still oppressing you? You are probably taking your freedom for granted. You are lucky, but you shoud acknowledge this is a privilege. Not everybody has it.",Pointing Out Hypocrisy or Contradictions,MIGRANTS
519,2611,We cannot support the children of immigrants.,"Children benefit from our society, they are entitled to the best education possible. It's not right to criticise immigrants for trying to give the best possible education to their children.","Positive Tone, Empathy, and Affiliation",MIGRANTS
520,2612,"We need to stop immigrants, they are going to cause conflicts in our society.",Why are you sure that new immigrants are incompatible with our society?,Questioning,MIGRANTS
521,2614,Immigration is bad for Britain and the world.,"Some countries are importing a lot more people than others. Our country is wealthy, we are a thriving place to live. We should not blame immigrants.","Positive Tone, Empathy, and Affiliation",MIGRANTS
522,2618,These white sheep steal our jobs and our wealth. A migrant is either a true criminal or a legal robber of wealth.,Sometimes those who work hard are hard to find in the news. We should remember that in the end the contribution of new cultures to ours is remarkable.,"Positive Tone, Empathy, and Affiliation",MIGRANTS
523,2627,"We cannot bring in tens of thousands of new immigrants, or bring in millions more refugees, but I think we should at least try to alleviate the migration crisis and we should not accept the ills of Islam.",Let's face it: people in need came to our shores. They are our brothers and sisters. We should be there for them.,"Positive Tone, Empathy, and Affiliation",other
524,2628,Muslims are invading us. They must go.,"Muslims are just here to live and work. Invasion has a negative meaning, where is the basis for your opinion?",Fact-Checking,other
525,2635,Islam is a violent religion.,"Islam is a religion of peace. Even if some Muslims do not follow the peaceful teachings of Islam, that doesn't mean that the majority of the global Muslim community aren't following those teachings.",Fact-Checking,MUSLIMS
526,2642,Islam is a mortal enemy of humanity.,"Islam is about spreading charity, not killing people.",Fact-Checking,MUSLIMS
527,2648,Islam is the worst ideology ever created .. Its teachings have caused great harm and destruction throughout the world.,Do you understand the seriousness of what you are saying? The religion of Islam has also been an enabler of some of the advances of civilisation.,Denouncing,MUSLIMS
528,2669,Muslims have no place in civilised Europe.,One could make the case that Europe is 'civilised' precisely because of historical contacts with Islam and the tranfers of knowledge that occured as a direct result of those contacts.,Fact-Checking,MUSLIMS
529,2683,Muslims have no place in civilised Europe.,Europeans have always had a lot of Muslim friends and relatives. They have helped make our continent what it is.,"Positive Tone, Empathy, and Affiliation",MUSLIMS
530,2686,"Muslims accept their religion only. I would not want my son, or daughter, or granddaughter to grow up in a country where their religion is not tolerated. Ban Islam.","I do not think that banning a religion is a protection for your own religion. If your fear concerns intolerance, why are you intolerant in the first place?",Pointing Out Hypocrisy or Contradictions,MUSLIMS
531,2696,Islam is a disease. It is killing and spreading like a cancer across our continent. We need to eradicate it.,What exactly do you mean by a 'cancer'? Should we be concerned about a disease spreading because of its individual members? There is no relation between religion and cancer.,Fact-Checking,MUSLIMS
532,2701,"Islam is just a virus, it cannot coexist with modern science and technology. Muslims should be banned.","We should not worry so much about a small minority of backwards-looking thinkers among Muslims. We usually try to deal with the issue on an individual basis, not banning a whole religious group.",Fact-Checking,MUSLIMS
533,2741,All Muslims are incompatible with any Western society.,I am not sure what you are trying to say by incompatible. What do you mean by incompatible?,Questioning,MUSLIMS
534,2763,Islam is an ideology of conquest.,"The world has changed a lot in the last hundred years, and with it the people and religions. No one is talking about conquering anymore. Islam is no exception in this.",Fact-Checking,MUSLIMS
535,2769,"Fat people are a drain to our welfare, we should get rid of them.","Being fat is not a crime, but targeting them is.",Denouncing,other
536,2772,Blacks are just a bunch of animals that only exist to destroy good white people.,Aren't those people raised as white supremacists much more harmful to a cohesive society?,Pointing Out Hypocrisy or Contradictions,POC
537,2776,"Women are basically childlike, they remain this way most of their lives.","Maybe you should consider that not all women are childlike, and that some women are 'childlike' with children!",Humour/Sarcasm,WOMEN
538,2777,"If a woman does not want to be a homemaker, then she is a bitch.","It is not exclusively a woman's role to be the homemaker. What about men? If a man doesn't want to be a homemaker, is he a bitch?",Pointing Out Hypocrisy or Contradictions,WOMEN
539,2778,"Women are basically childlike, they remain this way most of their lives.","Women have the right to choose their own partner, job, representatives and so on. They are much more similar to men than to children, don't you think so?",Fact-Checking,WOMEN
540,2783,Women are subhuman.,"Women are human beings with full human rights and are equal before the law, especially in the eyes of the constitution.",Fact-Checking,WOMEN
541,2785,All women are subhuman.,This statement just makes no sense,Denouncing,WOMEN
542,2786,All women are sick.,"Women are human beings, and deserve respect.","Positive Tone, Empathy, and Affiliation",WOMEN
543,2790,Arab people are a menace to our society and bring injustice and violence into our world.,I think the Arab community is more than capable of coming together and creating a more just and peaceful world.,"Positive Tone, Empathy, and Affiliation",other
544,2791,Jews are our enemies.,I think this is a good example of unmotivated hatred and I think it's appropriate in this case that you give a reason for why you're saying that.,Denouncing,JEWS
545,2792,Jews are responsible for the 9/11 attacks.,I don't think this idea is true: since the 9/11 attacks were committed by al Qaeda extremists it doesn't seem fair to blame Jews.,Fact-Checking,JEWS
546,2794,The Jews invented Ebola.,Why would the Jews have invented Ebola? Can you point out your sources on that?,Questioning,JEWS
547,2801,"We have to stop homosexuals, they're all rapers.",This is a myth which was created by anti-gay activists to demonise LGBTI people. To equate LGBTI people with paedophiles is just dangerous propaganda.,Fact-Checking,LGBT+
548,2809,Gays are sick. They should be isolated.,"There is no evidence that homosexuality is a health problem. This myth started out as a form of discrimination based on sexual orientation and has since morphed into a weapon of hate, directed at the LGBT+ community.",Fact-Checking,LGBT+
549,2812,All gay people are criminals. They are unfit to be in a free society.,"This is just a myth spread by the so-called 'anti gay' movement. They are trying to create a climate of fear by using this unjustified arguments, but it is not helping to build a more just society.",Fact-Checking,LGBT+
550,2818,I bet gays are ashamed of the horrible things they do in private.,"In our societies, people are no longer afraid to openly talk about gay or lesbian love. Gay people are not ashamed to be gay, they just want to be accepted.","Positive Tone, Empathy, and Affiliation",LGBT+
551,2822,Gays are sick. They should be isolated and confined.,Your statement implies that all gays are diseased. Do you have any statistics on that?,Fact-Checking,LGBT+
552,2830,Faggots are a burden to society.,"The oppression of the gay community has become a problem. People deserve respect, regardless of their sexual preference.","Positive Tone, Empathy, and Affiliation",LGBT+
553,2839,"Immigrants do not integrate, they are despicable and should be rejected.","We should be encouraging integration, not rejecting migrants who have been coming to our country for many years.","Positive Tone, Empathy, and Affiliation",MIGRANTS
554,2841,We have become a nation of immigrants.,How can you be sure that we are a 'nation of immigrants'? Do you have any statistics on that?,Fact-Checking,MIGRANTS
555,2846,We should ban all migrants.,"It is difficult to see how banning migration would be a good thing, in fact it would actually lead to disastrous results.",Warning of Consequences,MIGRANTS
556,2847,Migrants are a burden to the host country.,There are thousands of British people who are happy to have a neighbour coming from another country.,"Positive Tone, Empathy, and Affiliation",MIGRANTS
557,2849,We have become too cosmopolitan and tolerant.,Is there such a thing as being 'too tolerant'?,Humour/Sarcasm,MIGRANTS
558,2860,The Muslim immigrants only wants to destroy our country and take our place here. They must be deported.,Muslims who live here have at heart our country. I do not see any need to divide people who are fighting for the same cause.,"Positive Tone, Empathy, and Affiliation",other
559,2862,Muslims are not welcome in our country.,We are a country that is inclusive of immigrants. Why shouldn't they come to our country?,Fact-Checking,other
560,2882,"Muslims in the UK are a burden on society, they are mostly poor and have no place in a modern democracy like the UK.","A 'burden' is one who poses a problem to the majority. With regard to Muslims, this is simly not the case.",Fact-Checking,MUSLIMS
561,2904,"Islam is a death cult, it is opposed to the very concept of humanity and I would like to see all its worshippers' heads on a platter.",This is a really personal view and I would not wish harm on anyone.,"Positive Tone, Empathy, and Affiliation",MUSLIMS
562,2908,Muslims have no place in a modern democracy like the UK.,Isn't divesity essential to a modern democracy? We can't have a modern democracy if people are discriminated against because of their religion.,Pointing Out Hypocrisy or Contradictions,MUSLIMS
563,2911,Muslims have no place in civilised Europe.,"What do you mean by ""civilised Europe""? Don't you think civilisation involves inclusion and respect for others?",Pointing Out Hypocrisy or Contradictions,MUSLIMS
564,2912,"Islam is just an ideology and platform for the promotion of hatred, intolerance and violence.",The vast majority of Muslims worldwide do not share your intolerance. Words can also be very violent.,Denouncing,MUSLIMS
565,2916,Muslims are not welcome in our country. They are not worthy of our love.,"Muslims are not unworthy of our love, they deserve respect as all human beings do.","Positive Tone, Empathy, and Affiliation",MUSLIMS
566,2919,"Muslims are subhuman and have no place in a modern, secular state like the UK.",Your words suggest a climate of fear against Muslims. Would you be afraid of someone telling you that they are humans just like you?,Pointing Out Hypocrisy or Contradictions,MUSLIMS
567,2928,Muslims have no place in a modern European country.,Muslims have contributed so much to our country that their right to stay here should be recognised,"Positive Tone, Empathy, and Affiliation",MUSLIMS
568,2960,Muslims are just an inconvenient group to be excluded from the European countries. They are a chronic threat.,"Muslims have contributed to our country, and they are part of the fabric of our society. To suggest they are a 'chronic threat' is just wrong.",Denouncing,MUSLIMS
569,2962,Muslims are just an inconvenient group to be excluded from the European countries.,I don't think Muslims should be excluded. The increased diversity of our country has promoted greater social integration and contributed to a sense of belonging within communities.,"Positive Tone, Empathy, and Affiliation",MUSLIMS
570,2980,Black people don't have brains.,"The presence of a brain is not determined by skin colour. The fact that some people are born darker-skinned doesn't mean they aren't intelligent, rational human beings.",Fact-Checking,POC
571,2998,Feminism is a cancer spreading all around the world.,"Feminism is not a disease, nor does it need any cure. It is a movement for equality, not hate.",Fact-Checking,WOMEN
572,2999,Feminism is a hate movement that is poisoning our minds.,"Feminism is a movement towards equality, not hate.",Fact-Checking,WOMEN
573,3002,"Women are basically childlike, they remain this way most of their lives. This attitude has been likened to a 'childlike wonderland', and I fear its power to seduce young minds.","Feminism encourages the questioning of gender roles of men and women. We have to overcome these gender stereotypes, to move towards a more equal society.",Fact-Checking,WOMEN
574,3003,"If a woman does not want to be a homemaker, then she is a bitch.",I've never heard of a woman being a 'bitch' for wanting a stable income. I think you are confusing the meaning of these words.,Humour/Sarcasm,WOMEN
575,3006,"Some people have physical problems, and this means they should be discriminated against.",Why don't you accept others as they are? I think that would be the best thing to do.,"Positive Tone, Empathy, and Affiliation",DISABLED
576,3010,Folks with down syndrome are inferior,"People with Down Syndrome are not inferior to anyone else. Our genetic condition isn't something to be ashamed of, maybe we should be less judgemental about others.","Positive Tone, Empathy, and Affiliation",DISABLED
577,3011,Downs syndrome is a curse. People with it are not fit to be alive. They should be all killed by the government.,"Every individual has the right to be alive, and to choose their own doctor and treatment plan.","Positive Tone, Empathy, and Affiliation",DISABLED
578,3015,jewish folks control hollywood,"Jewish folk are just a collection of people with different backgrounds. Some of them work in Hollywood, but that's all.",Fact-Checking,JEWS
579,3017,Jewish can't be useful to our economy: they are too busy hiding from the law,"Our economy is built on the back of hard work by all, and minorities can work very hard to build it up, Jewish people included.","Positive Tone, Empathy, and Affiliation",JEWS
580,3018,We are superior to Jewish folks.,"Jewish people have always been proud and successful. They have produced great scientists and engineers, as well as writers and musicians. They are very creative people who have enriched our lives in many ways. They are not inferior to anyone.","Positive Tone, Empathy, and Affiliation",JEWS
581,3020,Jewish folks are obsessed with the holocaust.,"Jews were not obsessed with the holocaust. The murder of some 6 millions Jews by the Nazis shocked the world. Most of the survivors were only killed because they were suspected of belonging to a particular community. The Jewish people suffered greatly as a result of persecution, and the holocaust should be remembered not to let this happen again.",Fact-Checking,JEWS
582,3021,Real white folks can't be jewish.,"If you want to know if a person is jewish or not, you should investigate whether or not the person identifies as such, and not draw conslusions on the basis of their skin.",Denouncing,JEWS
583,3023,Jews are a danger to others: they are different.,Let us put this another way: why should 'the difference' of a Jew be a danger to anyone else?,"Positive Tone, Empathy, and Affiliation",JEWS
584,3038,Trans people should not have the right to change their gender on identity card.,Since when? It's everyone's right to choose with what gender to identify with.,Fact-Checking,LGBT+
585,3043,"Faggots, lesbians, and transgenders are all just hiding behind our society to abuse. They are allowed to do what they want to do to us.",I don't see how the language you are using can be applied to a whole group. I would like to think that our society is diverse and mature enough to deal with people with different sexual orientations and genders.,"Positive Tone, Empathy, and Affiliation",LGBT+
586,3049,Allowing transgenders to use the toilet is a man's business,"If they simply identify as men, then surely it is a man's business.",Fact-Checking,LGBT+
587,3059,These sodomites have no place in a free country,You have a very limited concept of what 'free' means!,Denouncing,LGBT+
588,3060,Gays are just hating animals.,Just because you disagree with their sexuality doesn't mean you have a right to hate on them.,Denouncing,LGBT+
589,3064,"Migrants are a problem in my opinion. They are bringing disease, they are ruining our country.",Maybe you should get acquainted with migrants instead of making assumptions about people you do not know.,"Positive Tone, Empathy, and Affiliation",MIGRANTS
590,3066,We have imported millions of criminals with no skills and who deserve no rights.,It is easy to blame the migrants and not the problem of integration and acceptance in the first place.,"Positive Tone, Empathy, and Affiliation",MIGRANTS
591,3069,"Immigrants steal our jobs, they're not qualified, they're not interested in improving our lives, they're not interested in our culture.",How about we be nice to each other instead of spreading unfounded opinions as facts?,"Positive Tone, Empathy, and Affiliation",MIGRANTS
592,3070,Foreigners are literally flooding into our country. Their every action must be monitored and recorded by the police.,"We are fortunate to live in a country where the vast majority of people have open hearts and minds. Immigrants are part of our country, as opposed to what you say.","Positive Tone, Empathy, and Affiliation",MIGRANTS
593,3083,Migrants rape our girls and steal our cars.,"On the contrary, most migrants are contributing members of society. They are able and willing to work hard. Maybe you should look at the statistics.",Fact-Checking,MIGRANTS
594,3097,Immigrants are bringing diseases and crime to our country.,"Instead, immigrants are healthy and contribute to our society. Do you have any evidence of the contrary?",Fact-Checking,MIGRANTS
595,3098,refugees are violent,Refugees are a part of our society. We have welcomed many of them and they have made a big contribution to our country. We are very proud of our history. We are not going to forget that.,"Positive Tone, Empathy, and Affiliation",MIGRANTS
596,3109,Muslims have no place in a civilised Europe.,Surely people born in Muslim countries should have the same opportunities as those from non-Muslim countries?,Pointing Out Hypocrisy or Contradictions,MUSLIMS
597,3123,"If Islam didn't exist, there would be no rape gangs targeting women in British cities",Rape gangs have nothing in common with Islam. Are you sure about what you say?,Fact-Checking,MUSLIMS
598,3131,"Islam is a totalitarian ideology that promotes rape, torture, murder and slavery.","There is no evidence for the statements you made, and the Koran does not advocate any of those actions.",Fact-Checking,MUSLIMS
599,3134,Muslim folks are different and should be isolated for this.,"The same can be said for any race, religion, ethnicity, or national identity. We should not be afraid of differences, but we should strive for equal opportunity.","Positive Tone, Empathy, and Affiliation",MUSLIMS
600,3147,I think that all Muslims are just sick. They are not interested in Western society.,There is no evidence that Muslim people have a negative impact on our society. Why would that be true?,Fact-Checking,MUSLIMS
601,3158,Blacks do not want to work,There are many black people who want to work. Do you have any proof that they do not want to work?,Fact-Checking,POC
602,3165,Blacks are genetically inferior,"This is not true. I would like to see intelligent, respectful people around, not people disrespecting anyone who has black skin.",Denouncing,POC
603,3166,"Blacks do drugs, they're a menace to society, they're violent, they're stupid, and they should all be put in prison.",Drugs are only harmful to people using them and if you are a violent person you should be put in prison. Why should a group of people be put in prison for their private choices or skin color?,Denouncing,POC
604,3170,We should teach these black children that they are stupid,"The English language is a very powerful language for spreading knowledge, experience and love. Why should we use it to spread hate?",Denouncing,POC
605,3171,Black folks cannot support their families. Their lives have no value.,I find this sort of social commentary distasteful. Black lives matter too!,Denouncing,POC
606,3174,"Women need to have children, and if they don't want to they surely have mental issues.",The reason why a woman does not want to reproduce might be because she is happy just as she is.,Fact-Checking,WOMEN
607,3175,Women should not be allowed to work.,"Well, they surely are, and so long as they are getting a decent, equal wage, who are you to complain about a person's right to choose a career?",Pointing Out Hypocrisy or Contradictions,WOMEN
608,3181,Women can't do certain jobs as well as men.,"It's not true that they are different. In fact, women are just as competent as men. Also, since we are in a democracy, we have the right to an equal distribution of jobs.",Fact-Checking,WOMEN
609,3194,Men have the genetical superiority to treat women as shit.,"It doesn't matter who you are. Whether you're a man, a woman or transgender, women are to be treated as human beings.","Positive Tone, Empathy, and Affiliation",WOMEN
610,3205,"I don't care if it is a man or a woman, if they are disabled they can't work.","It seems that your opinion does not consider that social inequality is a social problem. If we are going to talk abou tequality of opportunity and freedom from discrimination, then I think you would do well to be a little more considerate of the individual and their disabilities.","Positive Tone, Empathy, and Affiliation",DISABLED
611,3206,blind people don't know what's going on,I think the idea that people are blind because they were raised by communists or whatever is a figment of the far-right's imagination.,Fact-Checking,DISABLED
612,3207,Mentally handicapped people are a burden and must be isolated: they don't have neither feelings nor awareness anyway.,We should not be so quick to dismiss the feelings of others. This can be a way for us to find a connection with people.,"Positive Tone, Empathy, and Affiliation",DISABLED
613,3210,mentally handicapped people are a problem to society.,Media coverage of psychiatric illness often focuses on its negative impact on other people's lives. We should focus more on positive examples of well-adjusted individuals.,"Positive Tone, Empathy, and Affiliation",DISABLED
614,3211,mentally ill people should be isolated from society because they are dangerous.,"It is true that mentally ill people are often perceived as 'dangerous' to the general public. But if the stigma is the main cause of the discrimination, then the solution is to end stigma, not to isolate them.","Positive Tone, Empathy, and Affiliation",DISABLED
615,3212,mentally ill people should be isolated from society because they are dangerous.,"There are certainly some dangerous people with mental illnesses. But we need to deal with those cases, otherwise, the exclusion would only intensify. And exclusion is never the solution.","Positive Tone, Empathy, and Affiliation",DISABLED
616,3226,"Gays are just a bunch of disgusting animals. You should have the same disgust for them that you have for cancer people, small pox, and TB.",This is just prejudice that is not based on facts.,Fact-Checking,LGBT+
617,3228,gay men aren't real men,"Your concept of what it is to be a 'real man' seems extremely limited.They are people with whom we can - and must - live in harmony and as equals, not as third class citizens.","Positive Tone, Empathy, and Affiliation",LGBT+
618,3233,gay men are only about sex,Sex is a positive for all human beings. We should try to promote equality.,Fact-Checking,LGBT+
619,3234,Gays are just a bunch of disgusting animals trying to ruin other animals' lives.,"Being gay is not a problem, being homophobic is.",Denouncing,LGBT+
620,3235,lesbian women are unwanted,"Why don't you want to get to know people? Give them a chance. And if it makes you happy, then experience it!","Positive Tone, Empathy, and Affiliation",LGBT+
621,3237,Faggots: They are the problem. Luckily they are few.,Perhaps it is time you take a look at some of the profiles on dating site such as okcupid. You can see that many of the profiles are of gay men. BTW: gays do not appear to be the real problem here.,Fact-Checking,LGBT+
622,3243,Social problems are due to refugees.,"Let's face it: problems are caused by the economic crisis, unemployment, and lack of education. We can only help ourselves by helping others.",Fact-Checking,MIGRANTS
623,3245,We are being invaded by illegal immigrants,"Not only are they not invading us, they are not even illegal immigrants.",Fact-Checking,MIGRANTS
